timestamp,temp,ac,lights,occu
0,26.52,Off,Off,0
1,26.53,Off,Off,0
2,26.53,Off,Off,0
3,26.54,Off,Off,0
4,26.52,Off,Off,0
5,26.53,Off,Off,0
6,26.52,Off,Off,0
7,26.52,Off,Off,0
8,26.53,Off,Off,0
9,26.54,Off,Off,0
10,26.53,On,On,1
11,26.52,On,On,1
12,26.52,On,On,1
13,26.53,On,On,1
14,26.54,On,On,1
15,26.54,On,On,1
16,26.53,On,On,1
17,26.53,On,On,1
18,26.5,On,On,1
19,26.49,On,On,1
20,26.47,On,On,1
21,26.44,On,On,1
22,26.43,On,On,1
23,26.43,On,On,1
24,26.43,On,On,1
25,26.42,On,On,1
26,26.41,On,On,1
27,26.4,On,On,1
28,26.4,On,On,1
29,26.41,On,On,1
30,26.39,On,On,1
31,26.37,On,On,1
32,26.37,On,On,1
33,26.37,On,On,1
34,26.37,On,On,1
35,26.35,On,On,1
36,26.34,On,On,1
37,26.35,On,On,1
38,26.35,On,On,1
39,26.35,On,On,1
40,26.36,On,On,1
41,26.36,On,On,1
42,26.37,On,On,1
43,26.38,On,On,1
44,26.37,On,On,1
45,26.35,On,On,1
46,26.36,On,On,1
47,26.35,On,On,1
48,26.33,On,On,1
49,26.34,On,On,1
50,26.34,On,On,1
51,26.33,On,On,1
52,26.33,On,On,1
53,26.34,On,On,1
54,26.34,On,On,1
55,26.33,On,On,1
56,26.34,On,On,1
57,26.33,On,On,1
58,26.35,On,On,1
59,26.33,On,On,1
60,26.32,On,On,1
61,26.31,On,On,1
62,26.29,On,On,1
63,26.3,On,On,1
64,26.28,On,On,3
65,26.29,On,On,3
66,26.29,On,On,3
67,26.29,On,On,3
68,26.3,On,On,3
69,26.31,On,On,3
70,26.29,On,On,3
71,26.26,On,On,4
72,26.26,On,On,4
73,26.25,On,On,4
74,26.23,On,On,4
75,26.21,On,On,5
76,26.21,On,On,5
77,26.22,On,On,5
78,26.2,On,On,5
79,26.21,On,On,5
80,26.2,On,On,5
81,26.21,On,On,5
82,26.22,On,On,5
83,26.22,On,On,5
84,26.2,On,On,5
85,26.18,On,On,6
86,26.18,On,On,6
87,26.19,On,On,6
88,26.17,On,On,6
89,26.16,On,On,6
90,26.18,On,On,6
91,26.17,On,On,6
92,26.16,On,On,6
93,26.16,On,On,8
94,26.17,On,On,8
95,26.15,On,On,8
96,26.16,On,On,8
97,26.14,On,On,8
98,26.15,On,On,8
99,26.13,On,On,8
100,26.12,On,On,10
101,26.12,On,On,10
102,26.09,On,On,10
103,26.1,On,On,10
104,26.1,On,On,10
105,26.11,On,On,10
106,26.12,On,On,10
107,26.11,On,On,10
108,26.09,On,On,12
109,26.09,On,On,12
110,26.1,On,On,12
111,26.08,On,On,12
112,26.09,On,On,12
113,26.09,On,On,12
114,26.08,On,On,12
115,26.07,On,On,12
116,26.05,On,On,12
117,26.03,On,On,12
118,26.02,On,On,12
119,25.99,On,On,12
120,26.0,On,On,12
121,25.98,On,On,14
122,25.97,On,On,14
123,25.98,On,On,14
124,25.96,On,On,14
125,25.94,On,On,14
126,25.94,On,On,16
127,25.94,On,On,16
128,25.92,On,On,16
129,25.93,On,On,16
130,25.94,On,On,16
131,25.92,On,On,16
132,25.91,On,On,16
133,25.92,On,On,16
134,25.93,On,On,16
135,25.93,On,On,16
136,25.91,On,On,16
137,25.91,On,On,16
138,25.92,On,On,16
139,25.9,On,On,16
140,25.89,On,On,16
141,25.89,On,On,16
142,25.89,On,On,16
143,25.89,On,On,16
144,25.89,On,On,16
145,25.89,On,On,16
146,25.88,On,On,16
147,25.87,On,On,16
148,25.87,On,On,16
149,25.86,On,On,18
150,25.87,On,On,18
151,25.87,On,On,18
152,25.88,On,On,18
153,25.86,On,On,18
154,25.85,On,On,18
155,25.85,On,On,18
156,25.86,On,On,18
157,25.84,On,On,18
158,25.84,On,On,18
159,25.86,On,On,19
160,25.85,On,On,20
161,25.85,On,On,20
162,25.86,On,On,20
163,25.87,On,On,20
164,25.85,On,On,20
165,25.86,On,On,20
166,25.85,On,On,21
167,25.83,On,On,21
168,25.81,On,On,21
169,25.82,On,On,21
170,25.83,On,On,22
171,25.82,On,On,22
172,25.83,On,On,22
173,25.84,On,On,22
174,25.83,On,On,22
175,25.83,On,On,22
176,25.84,On,On,22
177,25.85,On,On,22
178,25.86,On,On,22
179,25.85,On,On,22
180,25.86,On,On,23
